Standardized name	Isolate name	Isolation	Ecological origins	Geographical origins	Collection / Provider	Reference
AFR	CBS7959	Factory producing ethanol (sugar cane syrup)	Industrial	Sao Paulo, Brazil	CBS collection (Nguyen H.V.)	
AFS	CBS1173	Fruit ilex	Fruit	NA	CBS collection (Nguyen H.V.)	
AFT	CBS1464	Infected nail of 4 yo girl	Human, clinical	Austria	CBS collection (Nguyen H.V.)	
AFV	CBS2814	Wine	Wine	Slovakia	CBS collection (Nguyen H.V.)	
AGA	CBS3012	Wine	Wine	Cadiz, Spain	CBS collection (Nguyen H.V.)	
AGB	CBS6308	Brewer yeast, Yorkshire type	Beer	South Yorkshire, UK	CBS collection (Nguyen H.V.)	
AGC	CBS2444	Distillery	Distillery	Seagrams distillery, Louisville, Kentucky	CBS collection (Nguyen H.V.)	
AGE	CBS1385	Bakery	Bakery	NA	CBS collection (Nguyen H.V.)	
AGF	CBS1479	Wine	Wine	NA	CBS collection (Nguyen H.V.)	
AGG	CBS1480	Distillery	Distillery	NA	CBS collection (Nguyen H.V.)	
AGH	CBS1582	Wine	Wine	Portugal	CBS collection (Nguyen H.V.)	
AGI	CBS1590	Grape must / juice	Wine	Italy	CBS collection (Nguyen H.V.)	
AGK	CBS2361	Trinidadian cane sugar	Nature	UK	CBS collection (Nguyen H.V.)	
AGL	CBS4458	Red wine	Wine	France	CBS collection (Nguyen H.V.)	
AGM	CBS7961	Fermenting concentrated syrup (sugar cane)	Industrial	Sao Paulo, Brazil	CBS collection (Nguyen H.V.)	
AGN	CBS439	Silvaner grapes	Wine	Germany	CBS collection (Nguyen H.V.)	
AGP	CBS1544	Juice	Fruit	Netherlands	CBS collection (Nguyen H.V.)	
AGR	CBS1594	Plant	Nature	NA	CBS collection (Nguyen H.V.)	
AGS	CBS3013	Wine	Wine	Cadiz, Spain	CBS collection (Nguyen H.V.)	
AGT	CBS3078	Spores	Unknown	NA	CBS collection (Nguyen H.V.)	
AGV	CBS6223	Grape juice	Wine	Chile	CBS collection (Nguyen H.V.)	
AHA	CBS6333	Rotting banana (from Musa sapientum)	Fruit	Costa Rica	CBS collection (Nguyen H.V.)	
AHB	CBS4734	Sugar cane juice	Nature	NA	CBS collection (Nguyen H.V.)	
AHC	CBS7963	Fermenting concentrated syrup (sugar cane)	Industrial	Sao Paulo, Brazil	CBS collection (Nguyen H.V.)	
AHD	CBS1192	Wine	Wine	NA	CBS collection (Nguyen H.V.)	
AHE	CBS1194	Wine	Wine	NA	CBS collection (Nguyen H.V.)	
AHF	CBS1540	Tibi grains	Nature	Switzerland	CBS collection (Nguyen H.V.)	
AHG	CBS1586	Pear must	Fruit	NA	CBS collection (Nguyen H.V.)	
AHH	CBS3000	Palm wine	Palm wine	Denmark	CBS collection (Nguyen H.V.)	
AHI	CBS6914	White wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AHK	CBS2247	Grape must	Wine	South Africa	CBS collection (Nguyen H.V.)	
AHL	CBS3081	Alpechin (waste from olive oil production)	Industrial	Spain	CBS collection (Nguyen H.V.)	
AHM	CBS3093	Alpechin (waste from olive oil production)	Industrial	Spain	CBS collection (Nguyen H.V.)	
AHN	CBS5635	Grape must	Wine	South Africa	CBS collection (Nguyen H.V.)	
AHP	CBS5835	Wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AHQ	CBS440	Molasses	Industrial	Taiwan	CBS collection (Nguyen H.V.)	
AHR	CBS1227	Abscess on epididymis	Human, clinical	Romania	CBS collection (Nguyen H.V.)	
AHS	CBS1419	Wine	Wine	Ghana	CBS collection (Nguyen H.V.)	
AHT	CBS1460	Fermenting fruit	Fermentation	Indonesia	CBS collection (Nguyen H.V.)	
AHV	CBS1487	Brewery	Beer	NA	CBS collection (Nguyen H.V.)	
AIA	CBS2180	Turbid Italian wine	Wine	Italy	CBS collection (Nguyen H.V.)	
AIB	CBS2805	Wine	Wine	Slovakia	CBS collection (Nguyen H.V.)	
AIC	CBS2807	Wine	Wine	Slovakia	CBS collection (Nguyen H.V.)	
AID	CBS2909	Human feces	Human	NA	CBS collection (Nguyen H.V.)	
AIE	CBS2910	Human feces	Human	Portugal	CBS collection (Nguyen H.V.)	
AIF	CBS457	Grape must	Wine	Italy	CBS collection (Nguyen H.V.)	
AIG	CBS1463	Beer	Beer	NA	CBS collection (Nguyen H.V.)	
AII	C6.1	Palm wine	Palm wine	Cameroon		3
AIK	C15.1	Palm nuts 	Nature	Cameroon		3
AIL	C10.4	Clay	Nature	Cameroon		3
AIM	E4		Wine	Umbria, Italy		12
AIN	MC5	Cooked wine (vino cotto)	Wine	Ascoli Piceno, Italy	UniversitÃ  politecnica delle Marche (Maurizio Ciani)	
AIP	MC6	Grape	Wine	Umbria, Italy	UniversitÃ  politecnica delle Marche (Maurizio Ciani)	4
AIQ	MC7	Spontaneous alcoholic fermentation	Fermentation	Umbria, Italy	UniversitÃ  politecnica delle Marche (Maurizio Ciani)	4
AIR	MC8	Cooked wine (vino cotto)	Wine	Ascoli Piceno, Italy	UniversitÃ  politecnica delle Marche (Maurizio Ciani)	
AIT	MC10	Winery surface	Wine	Umbria, Italy	UniversitÃ  politecnica delle Marche (Maurizio Ciani)	4
AKB	NPA07.1	Palm wine	Palm wine	Nigeria	INRA Montpelier, France (Legras JL)	23
AKC	NPA05a1	Palm wine	Palm wine	Nigeria	INRA Montpelier, France (Legras JL)	23
AKD	NPA05b1	Palm wine	Palm wine	Nigeria	INRA Montpelier, France (Legras JL)	23
AKE	NPA03.1	Palm wine	Palm wine	Nigeria	INRA Montpelier, France (Legras JL)	23
AKG	NPA06.1	Palm wine	Palm wine	Nigeria	INRA Montpelier, France (Legras JL)	23
AKH	NPA02-1	Palm wine	Palm wine	Nigeria	INRA Montpelier, France (Legras JL)	23
AKI	DBVPG6044	Bili wine	Wine	West Africa	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
AKL	K12	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	
AKM	UWOPS03-461.4	Nectar, Bertam palm	Tree	Malaysia	University of Western Ontario, Canada (Lachance M.A.)	9
AKN	YPS128	Soil beneath Quercus alba	Soil	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
AKP	CLQCA_02-003	Heart of palm processing equipment	Industrial	Santo Domingo, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
AKQ	CLQCA_04-021	Beetle	Insect	Los Rios, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
AKR	CLQCA_05-006	Rotten fruit	Fruit	Guayas, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
AKS	CLQCA_09-001	Flower (Opuntia sp.)	Flower	Imbabura, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
AKT	CLQCA_10-003	Stingless bee	Insect	Pichincha, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
AKV	CLQCA_10-027	Grass	Nature	Pichincha, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALA	CLQCA_10-619	Beetle	Insect	Pichincha, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALB	CLQCA_10-620	Orthopteran insect	Insect	Pichincha, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALC	CLQCA_11-024	Unidentified aquatic plant	Nature	Cotopaxi, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALD	CLQCA_13-023	Wax on rock surface	Nature	Bolivar, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALE	CLQCA_17-060	Hemipteran insect	Insect	Loja, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALG	CLQCA_18-003	Cocoa fruit	Fruit	Sucumbios, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALH	CLQCA_19-011	Horse dung	Nature	Napo, Ecuador 	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALI	CLQCA_20-060	Water in leaf with organic matter	Water	Yasuni National Park, Orellana, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALK	CLQCA_24SC-235	Tree exudate (Bursera graveolens)	Tree	Galapagos, Ecuador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
ALL	21-4-99	River water (Danube)	Water	Bratislava, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALM	21-4-101	River water (Danube)	Water	Bratislava, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALN	21-4-103	River water (Morava)	Water	Bratislava, Deninska Nova Ves, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALP	21-4-105	River water Morava	Water	Bratislava, Deninska Nova Ves, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALQ	21-4-111	Leaves of Prunus domestica L., 'Stanley'	Tree	Male Zaluzie, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALR	21-4-114	Leaves of peach tree (Prunus armeniaca)	Tree	Male levare, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALS	21-4-116	Blossom of apple tree (Malus domestica)	Flower	Male levare, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALT	21-4-122	Blossoms of apricot tree (Prunus armeniaca)	Flower	Male Zaluzie, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
ALV	21-4-124	Fruit of plum tree (Prunus domestica L., 'Stanley')	Fruit	Male Zaluzie, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
AMA	21-4-125	Fruit of plum tree (Prunus domestica L., 'Stanley')	Fruit	Male Zaluzie, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
AMB	IY_03-5-30-1-1-1_(1)	Chauliodes pectinicornis (male) - Corydalidae	Insect	Louisiana, USA	Louisiana State University (Meredith Blackwell)	26
AMC	IY_03-5-26-5-1-1_(1)	Chauliodes pectinicornis (female) - Corydalidae	Insect	Louisiana, USA	Louisiana State University (Meredith Blackwell)	26
AMD	ES4M07	Fruiting body of Geastrum sp.	Fruit	Dongpu, Sinyi Township, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMF	ES2M03	Fruiting body of Russula sp.	Fruit	Dongpu, Sinyi Township, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMG	SJ7L01	Leaf of Ardisia cornudentata	Tree	Tuchih, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMH	EN14S01	Soil	Soil	Sinyi, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMI	SJ1L04	Leaf of Podocarppus macrophyllus	Tree	Yuchih, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMK	SJ6L01	Leaf of Cunninghamia lanceolata	Tree	Tuchih, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AML	SJ5L11	Leaf of Acacia dealbata	Tree	Tuchih, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMM	SJ5L12	Leaf of Trema orientalis	Tree	Beinan, Taitung, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMN	SJ5L13	Leaf of Wendlandia formosana	Tree	Tuchih, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMP	SJ5L14	Fruiting body of Auricularia auricular	Fruit	Taian, Miaoli, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMQ	SJ5L15	Leaf of Acacia dealbata	Tree	Tuchih, Nantou, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMR	SJ5L16	Soil	Soil	Jhuosi, Hualein, Taiwan	National Hsinchu University of Education (Ching-Fu Lee)	25
AMS	SJ5L17	Probiotic	Probiotic	Austria	Biomin	
AMT	SJ5L18	Probiotic	Probiotic	Austria	Biomin	
ANA	DBVPG6696	Banana wine	Wine	Burundi	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
ANC	YPS129	Flux from Quercus alba	Tree	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
AND	YPS133	Soil beneath Quercus alba	Soil	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
ANE	YPS134	Soil beneath Quercus velutina	Soil	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
ANF	YPS139	Soil beneath unidentified Quercus sp.	Soil	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
ANG	YPS141	Soil beneath Quercus velutina	Soil	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
ANH	YPS142	Bark of q.rubra	Nature	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
ANI	YPS143	Soil beneath(q.rubra)	Soil	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
ANK	YPS154	Bark of q.velutina	Tree	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
ANL	A-6	Sorghum beer	Beer	Ghana	The Royal Veterinary and Agricultural University (Lene Jespersen)	14
ANM	A-18	Sorghum beer	Beer	Ghana	The Royal Veterinary and Agricultural University (Lene Jespersen)	14
ANN	AY529516	Cocoa bean fermentation	Fermentation	Ghana	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
ANP	UWOPS83-883-2	Drosophila sp. from Opuntia stricta,	Insect	Navassa Island	University of Western Ontario, Canada (Lachance M.A.)	
ANQ	L-1191	Wine	Wine	Valle de Ica, Peru	Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	11
ANR	RIB0001	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
ANS	RIB0002	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
ANT	RIB0003	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
ANV	RIB0004	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
APA	RIB0005	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
APC	RIB1001	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
APD	RIB1002	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
APE	RIB1003	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
APF	RIB1004	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
APG	VF8_(6)	Bioethanol, Sao Joao sugar mill	Bioethanol	Araras, Sao Paulo, Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
APH	M1.1	CachaÃ§a, Muller Industrial	Distillery	Pirassununga, Sao Paulo, Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
API	YS20	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Bakery	Korea	Macquarie University (Philip Bell)	18
APK	YS10(E)	Baker's yeast	Bakery	South Africa	Macquarie University (Philip Bell)	18
APL	YS11(E)	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Bakery	Turkey	Macquarie University (Philip Bell)	18
APM	YS15	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Bakery	Korea	Macquarie University (Philip Bell)	18
APN	YS19	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Bakery	Philippines	Macquarie University (Philip Bell)	18
APP	CBS382	Beer	Beer	Brazil, Rio de Janeiro	CBS collection (Nguyen H.V.)	
APQ	CBS400	Palm wine, from Elaeis guineensis	Palm wine	Ivory Coast	CBS collection (Nguyen H.V.)	
APR	CBS403	Ginger beer, from Zingiber officinale	Beer	West Africa	CBS collection (Nguyen H.V.)	
APS	CBS423	Wine	Wine	Switzerland	CBS collection (Nguyen H.V.)	
APT	CBS459	Grape must	Wine	Italy	CBS collection (Nguyen H.V.)	
APV	CBS1250	Cherry wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AQA	CBS4903	Alpechin (waste from olive oil production)	Industrial	Spain	CBS collection (Nguyen H.V.)	
AQB	CBS5112	Grape must	Wine	Spain	CBS collection (Nguyen H.V.)	
AQC	CBS5155	Fermenting Grape must	Wine	South Armenia	CBS collection (Nguyen H.V.)	
AQD	CBS5378	Alpechin (waste from olive oil production)	Industrial	Spain	CBS collection (Nguyen H.V.)	
AQE	CBS6006	Wine	Wine	Spain	CBS collection (Nguyen H.V.)	
AQG	CBS7539	Turbid beer	Beer	Plovdiv, Bulgaria	CBS collection (Nguyen H.V.)	
AQH	CBS7957	Factory producing cassava flour	Industrial	Sao Paulo, Brazil	CBS collection (Nguyen H.V.)	
AQI	CBS8292	Seawater	Water	Sweden	CBS collection (Nguyen H.V.)	
AQM	CBS420	Stracchino cheese	Dairy	Italy	CBS collection (Nguyen H.V.)	
